,2022-03-16 12:13:00,2022-03-16 12:21:11,2022-03-16 13:48:06,2022-03-16 13:58:21
0,0.004714406,0.0049183066,,
30,0.004680854,0.0048644394,,
60,0.0046480023,0.0048317825,,
90,0.0045971526,0.0048245904,,
120,0.004543016,0.004808673,,
150,0.004501714,0.0047120973,,
180,0.0044611837,0.0046418253,,
210,0.004440599,0.004661499,,
240,0.0044395397,0.004689678,,
270,0.0044233557,0.004690601,,
300,0.004407863,0.0046737287,,
330,0.0043890774,0.0046782773,,
360,0.0043666298,0.004672554,,
390,0.0043374267,0.0046546855,,
420,0.0043107974,0.0046531213,,
450,0.0042535155,0.0045802114,,
480,0.0042237514,0.004440023,,
510,0.0042123026,0.0043271277,,
540,0.0041994364,0.004311997,,
570,0.0041608973,0.004299096,,
600,0.004113878,0.0042753206,,
630,0.0040398696,0.0042643384,,
660,0.0039336015,0.0042468887,,
690,0.0038296634,0.00421839,,
720,0.0036334954,0.004173028,,
750,0.0034660473,0.0041088196,,
780,0.0033182239,0.003918208,,
810,0.003250133,0.0037703544,,
840,0.0032382905,0.0036941872,,
870,0.0032484042,0.0036235717,,
900,0.0032548017,0.0036547785,,
930,0.0032545011,0.0036869275,,
960,0.0032472478,0.0036455248,,
990,0.0032412899,0.0036259736,,
1020,0.0032407807,0.003653856,,
1050,0.0032452652,0.0036704468,,
1080,0.0032341927,0.0036878258,,
1110,0.0031980895,0.0036718256,,
1140,0.0031268625,0.0036285555,,
1170,0.0030578189,0.0036107476,,
1200,0.003024418,0.0036103234,,
1230,0.0029740669,0.0035965685,,
1260,0.0029248619,0.0035636795,,
1290,0.0028910048,0.0035181632,,
1320,0.0027614078,0.0034457454,,
1350,0.0023010913,0.0033695733,,
1380,0.0020865055,0.0032957573,,
1410,0.0020407594,0.0032458152,,
1440,0.0019854219,0.0031923982,,
1470,0.0019161919,0.0030777284,,
1500,0.0018262283,0.0029121495,,
1530,0.001551144,0.0028246806,,
1560,0.00096571335,0.0028069702,,
1590,0.0003178489,0.0027901656,,
1620,0.00022115822,0.0027923773,,
1650,0.00024287938,0.0027960083,,
1680,0.00024030467,0.0028062945,,
1710,0.00022373388,0.0028164734,,
1740,0.00023268006,0.0028160939,,
1770,0.00036397856,0.0028049685,,
1800,0.0004787551,0.0027779676,,
1830,0.00052814395,0.002738095,,
1860,0.0006475912,0.0027064744,,
1890,0.00077230606,0.002697323,,
1920,0.00082775904,0.0026975821,,
1950,0.00085691875,0.0026902498,,
1980,0.0009206336,0.002667683,,
2010,0.0009971499,0.0026193478,,
2040,0.0010422842,0.0025606928,,
2070,0.0010639287,0.002501544,,
2100,0.0010728543,0.0024213367,,
2130,0.0010730969,0.0022552,,
2160,0.0011034517,0.0019184443,,
2190,0.0011272134,0.00160292,,
2220,0.0011189955,0.0014470646,,
2250,0.0011042928,0.0013134048,,
2280,0.0011003194,0.0012123584,,
2310,0.001109645,0.001121247,,
2340,0.0010635112,0.0010673789,,
2370,0.000843995,0.00092618173,,
2400,0.00071831286,0.0006386556,,
2430,0.00074184116,0.00031857277,,
2460,0.0007411441,0.00015755995,,
2490,0.0006793049,0.00012760142,,
2520,0.00078491395,0.00014079512,,
2550,0.00096981355,0.00022875557,,
2580,0.0010595293,0.00045330092,,
2610,0.0011180277,0.00055565865,,
2640,0.0011342353,0.00061362074,,
2670,0.0011508241,0.0006951346,,
2700,0.0010973905,0.0007239071,,
2730,0.00095294067,0.0007056832,,
2760,0.0008725426,0.0007023455,,
2790,0.00086675596,0.0007348114,,
2820,0.00085497554,0.00079119444,,
2850,0.00071648514,0.0008182661,,
2880,0.00059480383,0.0008052846,,
2910,0.00060987484,0.00079459907,,
2940,0.0006659354,0.0008274186,,
2970,0.00079604686,0.0008697474,,
3000,0.00083216,0.0009077672,,
3030,0.0007166067,0.00091818225,,
3060,0.00047138036,0.00091562007,,
3090,0.00031197345,0.00089885225,,
3120,0.0002306978,0.0008733339,,
3150,0.00023974263,0.00085332076,,
3180,0.00025487956,0.00082487083,,
3210,0.00025792277,0.00076147396,,
3240,0.0002568125,0.0006661719,,
3270,0.00025084766,0.0005874812,,
3300,0.00025495666,0.0005220549,,
3330,0.0002635234,0.00046002996,,
3360,0.0002597365,0.00039876954,,
3390,0.00024669134,0.00037267606,,
3420,0.00023269144,0.0003583287,,
3450,0.00022359284,0.00035902634,,
3480,0.00021613811,0.00034840446,,
3510,0.00019982977,0.00032997312,,
3540,0.00018124057,0.00031459867,,
3570,0.00017641988,0.00031600418,,
3600,0.00017700772,0.00033093063,,
3630,0.0001776061,0.00036937813,,
3660,0.00017699364,0.0003661871,,
3690,0.00017507354,0.00034572554,,
3720,0.0001729231,0.00035632733,,
3750,0.00017024677,0.00037023274,,
3780,0.00016506453,0.0003781578,,
3810,0.0001668993,0.00038350848,,
3840,0.00018801687,0.00038974342,,
